Average Domestic Airline Itinerary Fares By Origin City for 2014 Ranked by Total Number of Domestic Passengers in 2016,,,,,,,
2016 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2016),2016 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,422.892284580307,428.735416545899,1278387
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,415.753814806937,421.498314041597,1029767
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,424.954284933547,430.825907700737,882705
4,SFO,San Francisco International,San Francisco,CA,436.2659820859,442.293899355558,849891
5,DEN,Denver International,Denver,CO,336.731634397082,341.384278695675,845114
6,BOS,Logan International,Boston,MA,381.960646099176,387.238222782883,801477
7,SEA,Seattle/Tacoma International,Seattle,WA,379.419489679462,384.661955029037,772629
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,425.2431966113,431.118811291138,727241
9,LGA,LaGuardia,New York-La Guardia,NY,395.836320840412,401.305618682392,690156
10,EWR,Newark Liberty International,Newark,NJ,492.21916408912,499.020190347191,678587
11,JFK,John F. Kennedy International,New York-JFK,NY,432.276776563989,438.249574704847,678452
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,359.324246687664,364.289054673974,624904
13,LAS,McCarran International,Las Vegas,NV,266.037031712421,269.712883792752,602399
14,MCO,Orlando International,Orlando,FL,312.39953164021,316.715977590919,600371
15,PHL,Philadelphia International,Philadelphia,PA,430.074447090427,436.016815492519,565279
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,435.0460834529,441.057145298713,557415
17,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,390.581556647869,395.978249049305,516034
18,DTW,Detroit Metro Wayne County,Detroit,MI,429.928182380336,435.868529832806,496034
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,340.870532379895,345.580364118381,489506
20,SAN,San Diego International,San Diego,CA,375.605805421115,380.795576831337,471201
21,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,296.462846353643,300.559094020726,471064
22,PDX,Portland International,Portland,OR,365.051731689239,370.095676732231,427749
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,492.582874982976,499.388926659641,418532
24,TPA,Tampa International,Tampa,FL,336.841438792021,341.495600265539,392724
25,MDW,Chicago Midway International,Chicago-Midway,IL,332.806316999353,337.40472491578,379283
26,MIA,Miami International,Miami,FL,408.789259308035,414.437528797331,324144
27,CLT,Charlotte Douglas International,Charlotte,NC,435.751947682881,441.772762503615,321415
28,OAK,Metropolitan Oakland International,Oakland,CA,307.18858300823,311.433028921027,321404
